position,title
Q1268572,monarch
Q687075,Prime Minister
Q105359146,Vice Prime Minister of Sweden
Q4189744,Deputy Prime Minister of Sweden
Q18589754,Minister for Church Affairs
Q10686046,Minister of Civil Affairs
Q39074196,Minister for the Climate
Q10686169,Minister for Communications and Regional Policy
Q18589796,Minister for Consumer Affairs
Q18176984,Minister for Culture
Q920108,Minister for Defence
Q18246311,Minister of Democracy
Q10686171,Minister for Domestic Affairs
Q6865819,Minister for EU Affairs
Q10686263,Minister for Education and Science
Q10686032,Minister of Employment
Q3612254,Minister for Energy
Q10686220,Minister for Enterprise
Q10686216,Minister for the Environment
Q6865835,Minister for Finance
Q17103474,Minister for Financial Markets
Q1749063,Minister for Foreign Affairs
Q95187493,Minister of Foreign Trade
Q6865858,Minister for Gender Equality Affairs
Q39074295,Minister for Government Coordination
Q95187834,Minister of Health
Q95983946,Minister for Higher Education and Science
Q10686041,Minister for Housing
Q19975875,Minister for Information Technology
Q6865890,Minister for Integration
Q10686038,Minister for International Development Cooperation
Q3315958,Minister for Justice
Q18183298,Minister for Migration and Asylum Policy
Q10547443,Minister of Municipalities
Q4806239,Minister for Nordic Cooperation
Q10670469,Minister of Primary Education
Q39074308,Minister for Public Health
Q10686194,Minister for Rural Affairs
Q10686247,Minister for Social Affairs
Q18246318,Minister for Social Security
Q87748605,Minister of Sports
Q10686108,Minister of Trade
Q18589764,Minister of Youth Affairs
Q1850749,Speaker of the Riksdag
Q54650199,Chancellor of Justice
Q44007793,President of Sveriges Riksbank
Q6514364,Supreme Commander of the Armed Forces
Q96472130,President of the Supreme Court
